Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID
Influencer: Influencer Response: Champagne Chaos,champagnechaos,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,03/01/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654178
Influencer: Internal: Alexa Jean Brown,alexajeanbrown,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,03/01/2022,12/31/2022,New Member Offer! Alexa Jean Brown is getting you 4 bottles for $29.95 + shipping's on us. ,6654549
Influencer: Influencer Response: CJ Eats,cjeats,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,03/01/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654181
Influencer: Internal: Ashley Petrone,arrowsandbow,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,03/01/2022,12/31/2022,New Member Offer! Ashley Petrone is getting you 4 bottles for $29.95 + shipping's on us. ,6654187
Influencer: Influencer Response: Nicole Combs,nicolecombs,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,04/01/2022,12/31/2022,New Member Offer! Nicole Combs is getting you 4 bottles for $29.95 + shipping's on us. ,6654190
Influencer: Internal: Jessa Helm,jessahelm,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,04/01/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654191
Influencer: Internal: Jena Green,jenagreen,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,04/01/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654550
Influencer: Internal: Collins Tuohy Smith,collinssmith,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,04/01/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654192
Influencer: Internal: Demi & Tom ,demiandtom,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,04/01/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654193
Influencer: Internal: Jenicka Lopez,jenickalopez,Winc,Non-Gifting,Influencers,NA,Dynamic Discount,10000,29.95,29.95,30,05/01/2022,12/31/2022,New Member Offer! Jenicka Lopez is getting you 4 bottles for $29.95 + shipping's on us. ,6654196
